"accuracy_nb1_test","mean_herf_diff_nb1_test","mean_herf_percentdiff_nb1_test","herf_correlation_nb1_test","accuracy_nb1_train","mean_herf_diff_nb1_train","mean_herf_percentdiff_nb1_train","herf_correlation_nb1_train","accuracy_svm1_test","mean_herf_diff_svm1_test","mean_herf_percentdiff_svm1_test","herf_correlation_svm1_test","accuracy_svm1_train","mean_herf_diff_svm1_train","mean_herf_percentdiff_svm1_train","herf_correlation_svm1_train","accuracy_nnseq1_test","mean_herf_diff_nnseq1_test","mean_herf_percentdiff_nnseq1_test","herf_correlation_nnseq1_test","accuracy_nnseq1_train","mean_herf_diff_nnseq1_train","mean_herf_percentdiff_nnseq1_train","herf_correlation_nnseq1_train","DEP_VAR","CLEAN_NAMES_METHOD","NGRAMS","TRIM_PROP_MIN","TRIM_PROP_MAX","train_N","test_N","SUB_SAMPLE","TRAIN_PROP"
0.0335294117647059,0.00123089017860267,-0.975097076254016,-0.079105977729152,0.0406852248394004,0.00130289006247006,-0.974916599535721,0.803416706229725,0.404705882352941,0.00470738911793095,-0.979925826465961,0.145865195231818,0.401012263967296,0.00417477721585871,-0.979842123949196,0.882776059583829,0.414705882352941,0.00399994685956707,-0.979218384207597,0.194041293921345,0.423788203231458,0.00342339058500364,-0.979090737318341,0.872856861030205,"d10","lower","1",0.01,0.9,10274,3400,"All",0.75
0.842352941176471,0.000195894947732281,-0.978064500766831,0.434374873765735,0.840373759003309,0.000160673311868406,-0.977945778990298,0.993121567292782,0.849705882352941,0.000221148039182932,-0.978185385808206,0.45229410121856,0.84923106871715,0.000191218581189069,-0.978085033116929,0.992265658861979,0.883823529411765,0.000143047136438204,-0.97806106736901,0.670224899138635,0.901693595483745,0.000120973066248521,-0.977950943762255,0.995957410686334,"religion","lower","1",0.01,0.9,10274,3400,"All",0.75
0.224117647058824,0.00405510123769125,-0.97584895336037,-0.0509085534315603,0.224936733502044,0.00425690840180979,-0.975541953791613,0.882123222191516,0.988235294117647,9.59454019389544e-05,-0.98,0,0.985594705080787,9.59598130495097e-05,-0.979894822006472,0.995806926236473,0.987941176470588,0.000101486257266091,-0.979994459144673,-0.0707019835435351,0.986373369671014,9.35967244470321e-05,-0.97989245891787,0.995838641667855,"d1","lower","1",0.02,0.9,10274,3400,"All",0.75
0.147941176470588,0.00336009406339626,-0.976560447760351,-0.182514796629073,0.142592953085458,0.00372260615706839,-0.976093312112779,0.879675322681829,0.988235294117647,7.94581762525696e-05,-0.98,0,0.985594705080787,7.89037366253152e-05,-0.979894822006472,0.996797627014864,0.988235294117647,7.94581762525696e-05,-0.98,0,0.986373369671014,7.53844299123178e-05,-0.979890686314712,0.996881281689326,"d3","lower","1",0.02,0.9,10274,3400,"All",0.75
0.145882352941176,0.00501367968431435,-0.975228911856624,0.0495233736385171,0.140743624683668,0.00344573506535372,-0.975156370127577,0.50935889496981,0.988235294117647,0.00378678912934067,-0.98,0,0.985594705080787,0.00158130474727949,-0.979894822006472,0.548333021649728,0.987941176470588,0.0037923299846678,-0.979994459144673,-0.0839274159086975,0.986373369671014,0.00156937888425389,-0.979882896143447,0.560943699072952,"d5","lower","1",0.02,0.9,10274,3400,"All",0.75
0.145882352941176,0.00386115665637428,-0.975836805659783,-0.297387999777517,0.140743624683668,0.00399415751879467,-0.975655224420818,0.901461947173362,0.988235294117647,0.000302037683842303,-0.98,0,0.985594705080787,0.000245440066859707,-0.979894822006472,0.974053478174448,0.987647058823529,0.00030531863828773,-0.979996719045555,-0.100209833076914,0.986568035818571,0.000241066493180951,-0.979890448432794,0.974186582734761,"d7","lower","1",0.02,0.9,10274,3400,"All",0.75
0.0335294117647059,0.00123089017860267,-0.975097076254016,-0.079105977729152,0.0406852248394004,0.00130289006247006,-0.974916599535721,0.803416706229725,0.404705882352941,0.00470738911793095,-0.979925826465961,0.145865195231818,0.401012263967296,0.00417477721585871,-0.979842123949196,0.882776059583829,0.413529411764706,0.00442759509658122,-0.979646032444611,0.156251995712827,0.420868211018104,0.00387674393007385,-0.979544090663411,0.87600992096305,"d10","lower","1",0.02,0.9,10274,3400,"All",0.75
0.842352941176471,0.000195894947732281,-0.978064500766831,0.434374873765735,0.840373759003309,0.000160673311868406,-0.977945778990298,0.993121567292782,0.849705882352941,0.000221148039182932,-0.978185385808206,0.45229410121856,0.84923106871715,0.000191218581189069,-0.978085033116929,0.992265658861979,0.88,0.000138845440241297,-0.97806109460479,0.636153309714441,0.904126922328207,0.000115979477052172,-0.977968547275949,0.996142787554428,"religion","lower","1",0.02,0.9,10274,3400,"All",0.75
0.671176470588235,0.00210718262544182,-0.977796871972619,0.0436790437067747,0.677730192719486,0.00223800951199496,-0.977560852681428,0.927969042121561,0.989117647058824,0.000109757148478489,-0.979983377434019,-0.0830491735028578,0.986081370449679,9.37725251879971e-05,-0.979892452934672,0.995931103762442,0.988823529411765,9.30865725172922e-05,-0.979994190776671,0.0966131972727934,0.998345337745766,1.29353321572107e-05,-0.97981179752558,0.999416522790369,"d1","lower","2",0.001,0.9,10274,3400,"All",0.75
0.668235294117647,0.00201416877040634,-0.977907216393799,-0.0940658107628744,0.678606190383492,0.00223408475747399,-0.977581833512373,0.923403599513841,0.989117647058824,7.66197710061004e-05,-0.979995588685428,0.0804940880960116,0.986276036597236,7.34575143958848e-05,-0.97988870292471,0.996876080072868,0.987352941176471,7.84541334588433e-05,-0.979986342154713,0.0765433214590477,0.998248004671987,1.62308697509095e-05,-0.979819071130465,0.999541324070637,"d3","lower","2",0.001,0.9,10274,3400,"All",0.75
